V1,V2,V3
-0.077739886,0.120218872,0.149945435
0.405894108,-0.277023203,-0.287013252
-0.199420562,0.004721623,0.148808075
-0.046316003,0.096647106,-0.052332219
-0.011866464,-0.049373066,-0.153891897
0.524729345,-0.448829151,-0.216400518
-0.209320537,-0.397250419,-0.078727556
0.011110904,-0.249941876,-0.305789073
-0.426512666,0.511642375,0.207395392
0.212815933,-0.075912186,-0.076224468
0.316698306,0.590996226,0.01734426
0.080381566,0.246766226,0.038387739
-0.279118782,0.147776001,0.452436712
0.215774504,0.184638942,-0.000748924
0.741023147,-0.184167999,0.096491529
-0.080227541,-0.603740005,-0.003789889
-0.127452038,-0.170812554,1.005417332
-0.332502329,0.110066286,0.297916424
-0.237929904,0.151398099,0.081686714
0.268431663,-0.019232433,-0.220713175
-0.115796107,0.199891956,-0.360906582
-0.0843537,-0.114036842,0.240605914
0.124556064,0.069017321,-0.56505098
0.017214431,-0.10207026,-0.088032599
-0.05020916,-0.157976151,-0.24684174
0.174753171,0.239820049,0.124720394
0.289263326,0.055767756,-0.244739471
-0.040019098,-0.38752071,0.074611813
0.956290893,-0.385743484,-0.29310272
-0.33757729,0.250019875,-0.23755914
0.190249449,-0.574107406,-0.05916495
0.142323676,-0.214241689,-0.381379929
0.08819566,0.030034418,-0.13697686
0.189957787,-0.453251369,-0.152667258
-0.374986668,0.135789438,-0.001913567
-0.113714225,-0.408987932,-0.253545538
-0.013779085,0.038527235,-0.446507593
0.460526865,0.055145576,-0.055135877
0.28352254,-0.390166556,0.124222709
0.066336466,-0.094910779,0.104117535
-0.043045582,-0.031548677,0.134341161
0.100060113,0.186981768,0.038531398
-0.056138,0.051225706,-0.083746338
-0.280595491,0.0335848,0.112858911
-0.218498349,0.111698667,-0.102180023
0.054797063,-0.122489169,-0.027458507
0.070491163,-0.365594849,-0.086826512
0.027546215,-0.420896246,0.060800049
0.262367833,-0.152153197,-0.17378751
-0.124369831,-0.349791301,-0.012696567
-0.162095589,-0.225665759,-0.056624452
-0.198087569,-0.167982183,0.061765755
-0.101212964,0.113845944,-0.06055969
-0.614112933,0.140358144,0.084440749
-0.502249774,0.153055465,-0.54403988
-0.09238892,-0.078649303,-0.347125262
-0.243482526,-0.102446222,0.62923815
-0.106093763,-0.171567071,0.043592
-0.350883461,-0.391784684,-0.307532859
0.050504536,0.068217974,-0.113433009
0.111674451,-0.246431864,0.020674501
0.158323258,-0.549014637,0.173648238
-0.145720866,0.06950655,-0.14350645
-0.008385029,-0.374886685,-0.175962271
-0.211827752,-0.541172106,0.177273747
0.223421334,0.097417637,-0.250024641
-0.074774236,-0.080451698,0.0851209
-0.120403735,-0.324170923,-0.352026331
-0.30452875,-0.081474155,-0.444710131
-0.215123458,-0.073563561,-0.438208508
0.22220387,-0.326182504,-0.479511387
0.012277291,0.002668897,-0.29539585
-0.022704562,0.048457363,0.037494015
0.01097304,-0.165465753,0.055386148
0.079858374,-0.128503469,0.030827487
-0.153888677,0.637923801,0.082069919
0.330802027,-0.21574898,-0.266285353
-0.373455148,-0.334893606,-0.273558842
-0.186713762,-0.739621284,-0.061313513
-0.317661466,-0.250168013,-0.183827653
-0.335285112,0.003235616,0.390367619
-0.276533793,-0.380694602,-0.073307297
0.100518556,-0.02136138,-0.077650184
-0.037325687,0.07659962,-0.361025641
0.162679665,-0.022940063,0.187360111
0.323586211,0.238942892,-0.056108751
-0.009592597,0.15138747,0.088066654
-0.325856875,-0.069701508,-0.262143353
0.086717936,-0.148748336,0.009907167
0.78092332,-0.027968605,-0.186417395
-0.362572121,-0.04875442,-0.238864281
-0.219739976,0.734972053,0.143738383
0.22757916,0.085300886,-0.102199183
-0.060782896,-0.167279402,2.00288197
0.030001393,-0.13248281,0.288493764
-0.228656945,-0.049003715,-0.098779111
-0.387032526,-0.321639858,0.035418908
-0.242293753,-0.607350031,-0.435623029
