BirdID,Sex,Cohort,EggDate,HatchDate,NatalBrood,RearingBrood,Fostered,LastLiveRecord,LastLiveYear,LastStage,DeathStatus,DeadCertain,DeadAssumed,DeathAgeY,DeathAgeM,CaptureDate,CaptureYear,Stage,AgeY,AvAgeY,WiAgeY,AgeM,AvAgeM,WiAgeM,McAgeY,McAgeM,SampleID,CTLowTL,TValue,CTHighGAPDH,SValue,TSRatio,Plate,Row,RelDiff,AnalysisYear,ExtractionYear,BloodAge,DNAAge
23,1,2001,04/05/2001,18/05/2001,158,159,-1,16/11/2005,2005,3,0,FALSE,TRUE,4,54,16/11/2005,2005,3,4,3,1,54,37.66666667,16.33333333,2.808219178,39.11760094,BEW0071,18.48723897,41.47795656,20.28981738,46.38587282,0.894176693,MEM_Adults_plate9_101014_data.csvresultstotal.csv,C,0.001095209,2014,2014,9,0
23,1,2001,04/05/2001,18/05/2001,158,159,-1,14/05/2007,2007,3,0,FALSE,TRUE,6,72,18/06/2004,2004,3,3,3.5,-0.5,37,45.5,-8.5,1.808219178,22.11760094,BDS0674,19.08021113,33.07508735,20.49029146,39.15026289,0.844771346,MEM_Adults_plate39_260515_data.csvresultstotal.csv,G,0.014528856,2015,2015,11,0
24,1,2001,04/05/2001,18/05/2001,158,159,-1,14/05/2007,2007,3,0,FALSE,TRUE,6,72,18/11/2005,2005,3,4,3.5,0.5,54,45.5,8.5,2.808219178,39.11760094,BEW0199,18.15320136,30.77223095,20.20062531,40.22495986,0.76570961,MEM_Adults_plate7_091014_data.csvresultstotal.csv,B,0.068385045,2014,2014,9,0
24,1,2001,05/05/2001,19/05/2001,159,158,-1,30/08/2004,2004,3,0,FALSE,TRUE,3,39,14/05/2004,2004,3,3,2.5,0.5,36,30.5,5.5,1.808219178,21.11760094,BDS0247,19.22122253,10.94024473,21.31274257,19.2322989,0.569050591,MEM_adults_090914B_data.csvresultstotal.csv,H,0.010050764,2014,2005,1,9
32,1,2001,05/05/2001,19/05/2001,159,158,-1,30/08/2004,2004,3,0,FALSE,TRUE,3,39,20/06/2003,2003,3,2,2.5,-0.5,25,30.5,-5.5,0.808219178,10.11760094,BCS0352,19.63382142,16.80744829,22.38478021,16.52730241,1.017429835,MEM_Adults_plate40_270515_data.csvresultstotal.csv,H,0.016364367,2015,2004,1,11
32,0,2001,06/05/2001,20/05/2001,161,160,-1,29/11/2004,2004,3,1,FALSE,TRUE,3,42,29/11/2004,2004,3,3,2.5,0.5,42,34.5,7.5,1.808219178,27.11760094,BDW0181,16.70646607,54.25811413,19.12499345,79.86789049,0.667461207,MEM_Adults_100914_PLATE3_data.csvresultstotal.csv,C,0.184833433,2014,2014,10,0
41,0,2001,06/05/2001,20/05/2001,161,160,-1,29/11/2004,2004,3,1,FALSE,TRUE,3,42,12/08/2003,2003,3,2,2.5,-0.5,27,34.5,-7.5,0.808219178,12.11760094,BCS0731,19.91659881,37.74028922,20.47737157,41.84110369,0.900674637,MEM_Adults_plate42_270515_data.csvresultstotal.csv,F,0.051678464,2015,2015,12,0
41,0,2001,07/05/2001,21/05/2001,163,164,-1,30/01/2005,2005,3,0,FALSE,TRUE,4,44,23/11/2004,2004,3,3,2.2,0.8,42,28.4,13.6,1.808219178,27.11760094,BDW0042,17.76938473,50.45368066,19.75355663,45.26198768,1.114483265,MEM_adults_080914_data.csvresultstotal.csv,G,0.008628392,2014,2014,10,0
45,0,2001,07/05/2001,21/05/2001,163,164,-1,30/01/2005,2005,3,0,FALSE,TRUE,4,44,12/06/2003,2003,3,2,2.2,-0.2,25,28.4,-3.4,0.808219178,10.11760094,BCS0251,17.70629938,39.32481221,19.97767321,47.43305597,0.827218777,MEM_Aduts_reruns2_080615_data.csvresultstotal.csv,F,0.154368266,2015,2004,1,11
45,0,2001,07/05/2001,21/05/2001,164,163,-1,11/08/2006,2006,3,0,FALSE,TRUE,5,63,15/11/2005,2005,3,4,2.875,1.125,54,35.625,18.375,2.808219178,39.11760094,BEW0048,17.9882372,44.17290147,19.85397117,42.64836629,1.032545053,MEM_adults_080914_data.csvresultstotal.csv,H,0.059034781,2014,2014,9,0
